aX,aY,aZ,gX,gY,gZ
-0.409,-0.245,1.798,8.911,-49.561,-7.202
-0.406,-0.278,1.932,12.756,-45.044,-7.141
-0.398,-0.284,1.959,16.052,-36.072,-4.639
-0.382,-0.275,1.904,19.287,-25.757,-1.831
-0.375,-0.211,1.844,18.250,-18.250,0.244
-0.358,-0.200,1.787,17.273,-13.489,0.427
-0.343,-0.245,1.757,20.020,-10.010,-0.854
-0.337,-0.263,1.710,21.667,-5.737,-0.916
-0.329,-0.281,1.669,21.667,-2.319,-0.732
-0.310,-0.301,1.615,20.020,-1.038,0.061
-0.372,-0.429,1.674,13.306,-2.075,2.747
-0.406,-0.271,1.756,-1.709,3.174,12.085
-0.331,0.049,1.790,0.610,20.142,18.433
-0.287,-0.159,1.427,30.823,36.865,10.803
-0.273,-0.303,1.311,42.542,32.471,5.371
-0.251,-0.221,1.541,25.208,19.409,4.700
-0.264,-0.181,1.604,12.634,21.606,6.165
-0.248,-0.245,1.520,13.733,31.006,5.981
-0.236,-0.241,1.521,11.963,36.255,5.615
-0.233,-0.206,1.526,5.493,41.382,5.798
-0.191,-0.207,1.256,2.441,45.715,4.578
-0.212,-0.248,1.433,-6.226,36.072,1.648
-0.206,-0.241,1.371,-13.306,37.109,1.404
-0.220,-0.301,1.373,-15.808,37.598,1.892
-0.218,-0.295,1.412,-15.869,36.255,2.502
-0.216,-0.296,1.475,-13.977,36.621,3.418
-0.217,-0.303,1.459,-11.475,40.344,5.432
-0.229,-0.292,1.414,-8.728,44.006,6.958
-0.222,-0.246,1.346,-7.629,46.692,7.202
-0.212,-0.270,1.300,-5.676,47.302,6.226
-0.219,-0.249,1.301,-7.446,48.218,6.775
-0.225,-0.224,1.325,-9.827,50.964,8.118
-0.218,-0.232,1.272,-7.080,57.434,7.874
-0.210,-0.234,1.209,-5.310,62.683,7.141
-0.198,-0.240,1.135,-5.310,66.101,6.165
-0.173,-0.237,1.096,-6.165,68.237,5.310
-0.157,-0.239,1.064,-7.507,69.153,5.615
-0.150,-0.240,1.009,-9.155,70.679,7.263
-0.147,-0.223,1.001,-11.292,70.557,8.179
-0.137,-0.177,0.993,-11.292,70.007,8.118
-0.119,-0.214,0.998,-11.963,69.824,7.019
-0.108,-0.182,0.968,-11.780,71.228,7.141
-0.090,-0.154,0.986,-7.507,71.045,6.592
-0.080,-0.158,1.018,-5.310,71.594,6.042
-0.078,-0.149,0.992,-7.812,73.486,5.737
-0.104,-0.170,0.973,-16.174,74.036,5.920
-0.087,-0.182,0.875,-15.381,77.148,6.348
-0.060,-0.139,0.832,-7.629,75.195,7.263

-0.014,-0.144,0.856,-8.484,68.848,10.620
-0.035,-0.140,0.861,-12.878,67.627,13.916
-0.015,-0.141,0.771,-3.723,67.566,13.062
0.038,-0.087,0.839,4.761,59.998,12.939
0.065,-0.078,0.863,5.005,58.228,13.794
0.091,-0.045,0.834,5.371,62.317,14.221
0.123,-0.044,0.796,7.080,62.927,13.977
0.136,-0.023,0.766,4.028,63.904,13.550
0.153,-0.024,0.673,-1.038,65.247,12.451
0.149,-0.036,0.630,-4.089,60.852,10.132
0.152,-0.066,0.639,-6.714,54.199,8.118
0.174,-0.067,0.669,-7.812,50.476,7.751
0.196,-0.064,0.673,-5.127,48.462,7.141
0.222,-0.011,0.717,-3.784,46.631,6.531
0.250,-0.024,0.693,-1.282,45.654,4.639
0.240,-0.037,0.671,-0.183,44.495,2.441
0.243,-0.053,0.677,0.854,44.312,0.854
0.219,-0.061,0.709,2.258,45.105,0.061
0.300,-0.067,0.675,6.409,50.293,-2.014
0.266,-0.047,0.658,5.920,44.678,0.488
0.283,-0.006,0.646,1.526,43.457,1.465
0.295,-0.009,0.637,-0.427,44.617,0.916
0.291,-0.041,0.606,-0.305,45.105,0.183
0.298,-0.053,0.631,1.282,42.542,-0.488
0.309,-0.050,0.648,5.920,39.307,-1.038
0.327,-0.044,0.624,11.353,37.903,-1.587
0.333,-0.034,0.577,13.733,37.659,-2.014
0.335,-0.024,0.578,14.038,35.339,-2.686
0.331,-0.018,0.597,14.221,33.325,-2.747
0.328,-0.016,0.593,17.090,32.104,-2.625
0.334,-0.045,0.544,23.193,30.518,-3.235
0.331,-0.067,0.500,25.574,28.320,-3.601
0.325,-0.056,0.460,22.888,26.611,-3.479
0.330,-0.096,0.427,22.278,24.353,-4.639
0.324,-0.125,0.401,21.179,21.667,-4.944
0.320,-0.114,0.371,17.334,20.020,-3.662
0.331,-0.141,0.322,17.395,17.761,-3.906
0.332,-0.150,0.260,17.456,15.320,-4.761
0.336,-0.123,0.197,13.062,12.695,-3.906
0.353,-0.126,0.123,8.423,8.301,-3.784
0.370,-0.159,0.086,2.747,0.916,-3.174
0.371,-0.150,0.111,-5.798,-6.897,-1.831
0.386,-0.134,0.134,-11.475,-12.939,-0.977
0.409,-0.111,0.159,-12.207,-19.043,-0.916
0.430,-0.108,0.214,-12.207,-25.208,-0.488
0.404,-0.026,0.216,-12.695,-28.259,1.709
0.411,0.002,0.323,-13.550,-34.302,1.465
0.416,-0.014,0.373,-11.292,-39.490,0.183
0.420,-0.015,0.414,-5.554,-43.762,-0.549
0.425,-0.022,0.421,-1.038,-46.753,-0.854
0.410,-0.028,0.448,-0.671,-49.316,-1.038
0.377,-0.046,0.475,-2.197,-51.208,-1.099
0.342,-0.080,0.499,-1.160,-52.917,-1.221
0.333,-0.081,0.515,3.601,-56.213,-1.587
0.329,-0.112,0.517,11.841,-60.608,-2.319
0.333,-0.122,0.511,16.296,-63.293,-2.380
0.370,-0.144,0.484,16.296,-64.270,-2.625
0.312,-0.196,0.487,12.146,-65.979,-3.723
0.292,-0.179,0.488,1.526,-64.026,-3.357
0.241,-0.161,0.586,-7.996,-69.702,-3.113
0.192,-0.198,0.609,-6.287,-71.350,-3.967
0.132,-0.203,0.627,-5.493,-72.327,-2.869
